Award Name,Organization,Purpose,Level Of Study,Award Type,Award Amount,Deadline
McMurray Stern - Scholarship Opportunity,McMurray Stern,To help a student gain an education in an industrial engineering field.,Bachelor's Degree,Scholarship,$500,September
MDF Postdoctoral Fellowship,Myotonic Dystrophy Foundation,To support innovative research on myotonic dystrophy.,"Graduate Degree
Professional Development",Fellowship,"$105,000",September
Mediation & Conversations Scholarship,"Dolan Divorce Lawyers, PLLC","The team at Dolan Divorce Lawyers, PLLC has seen first hand the challenges that can often accompany familial issues, or moreover, intrapersonal issues at large. This $1,000 scholarship will be awarded to the student who can best describe a situation in which they used mindful communication skills to help mediate a conflict.

The team at Dolan Divorce Lawyers knows how complicated it can be to navigate a familial issue, no matter how big or small. We pride ourselves on our approachability, ability to listen intently to our clients, and capability to deliver desired results with limited stress and optimal ease. It’s not always easy to talk through a problem when it arises, especially if you are put in the middle of a tough situation suddenly. We are proud to assist those who approach these challenges with a calm and organized mindset, and feel that these qualities deserve recognition.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",September
MESA Student Travel Grant,Middle East Studies Association of North America,To help subsidize travel expenses for students who are presenting papers at the MESA Annual Meeting.,Bachelor's Degree,Grant,$250,September
Michigan Society of Fellows Three-Year Fellowships,Michigan Society of Fellows,"To assist qualified candidates who are at the beginning of their academic careers, having received the Ph.D. Or comparable professional or artistic degree.",Professional Development,Fellowship,"$60,000",September
Mihaly Russin Scholarship Awards,Russian Brotherhood Organization of the USA,To provide aid to students seeking higher education in helping the future generation to prosper.,N/A,Scholarship,"$1,000",September
"Military Scholarship for Veterans, Active Duty and Military Spouses",Educationconnection.com - EducationDynamics,,Bachelor's Degree,Scholarship,"$1,000",September
Mitsuyoshi Tanaka Dissertation Award in Experimental Particle Physics,American Physical Society,To support exceptional young scientists who have performed original doctoral thesis work of outstanding scientific quality and achievement in the area of experimental particle physics.,Graduate Degree,"Prize
Scholarship","$1,000
$1,500",September
Money Metals Exchange & Sound Money Defense League Scholarship,Money Metals Exchange,To help qualified students pay for the ever-rising costs of higher education.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000
$2,000",September
"Montgomery County Medical Society – William W. Lander, MD,",Foundation of the Pennsylvania Medical Society,To provide financial assistance for medical students who are residents of Montgomery County.,Bachelor's Degree,Scholarship,"$2,000",September
Music Individual Project Funding,Alberta Foundation for the Arts,"To support the development of individual Alberta artists, arts administrators or an ensemble of artists by providing a grant for a specific music project in a limited time period.",Professional Development,Grant,"$15,000",September
"Myrtle Siegfried, MD, and Michael Vigilante, MD Scholarship",Foundation of the Pennsylvania Medical Society,"To provide financial assistance to qualified first-year medical students residing in Berks, Lehigh, or Northampton County.",N/A,Scholarship,"$1,000",September
NAANA Scholarship,National American Arab Nurses Association,To support students of Arab descent who are pursuing nursing degrees.,"Bachelor's Degree
Graduate Degree
Professional Development",Scholarship,"$500
$1,000",September
National American Arab Nurses Association Scholarships for Nursing,National American Arab Nurses Association,"To provide financial assistance to applicants who are engaged in studying nursing at the associate degree, bachelor's degree, and master's degree or RN-BSN levels.","Bachelor's Degree
Graduate Degree",Scholarship,"$500
$1,000",September
NEA Foundation Learning and Leadership Grants,The NEA Foundation,"To provide opportunities for teachers, education support professionals, and higher education faculty and staff to engage in high-quality professional development and to lead their colleagues in professional growth.",Professional Development,Grant,"$2,000
$5,000",September
Neil Clark Memorial Scholarship,National Walking Horse Association,"To encourage youth participation in equestrian sport, at NWHA events, and at the NWHA National Championship Show.",N/A,Scholarship,$250,September
New Investigator Grant,Scleroderma Foundation,To support promising new Scleroderma investigators in research that is likely to lead to individual research project grants.,Professional Development,Grant,"$50,000",September
Nila Banton Smith Research Dissemination Support Grant,International Literacy Association,To facilitate the dissemination of literacy research to the educational community.,Professional Development,Grant,"$5,000",September
NING Scholarship,Ning Interactive Inc.,To reward students for opinions and creative thinking.,"Bachelor's Degree
Graduate Degree",Scholarship,"$200
$300
$500",September
NLF Presidential Scholarships,National Asian Pacific American Bar Association,To support law students who demonstrate an outstanding leadership potential to serve the Asian Pacific American community.,Bachelor's Degree,Scholarship,"$7,500",September
No Sweat Scholarship,Cirkled In,To 8th - 12th grade students to use towards any educational needs.,High School,Scholarship,"$2,500",September
NorthCoast Medical Scholarship,American Occupational Therapy Foundation,To support students enrolled in a occupational therapy assistant programs.,Professional Development,Scholarship,"$5,000",September
Notorious RBG Women of Tomorrow Scholarship,National Society of High School Scholars,To support promising young students.,"Bachelor's Degree
High School",Scholarship,"$1,000",September
NSHSS Activism and Advocacy Scholarship,National Society of High School Scholars,"To support students with a passion for bringing about social, political, and/or civil change.","Bachelor's Degree
High School",Scholarship,"$1,000",September
NSHSS Collegiate Council Leadership Scholarship,National Society of High School Scholars,To support NSHSS Collegiate Council Members as they pursue undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
NSHSS Foundation Business & Public Policy Scholarship,National Society of High School Scholars,To support undergraduates pursuing degrees in business and public administration fields.,Bachelor's Degree,Scholarship,"$1,000",September
NSHSS National Scholar Awards,National Society of High School Scholars,To support the education of student members.,"Bachelor's Degree
High School",Scholarship,"$1,000",September
NYLA-Dewey Scholarship,New York Library Association,To provide financial assistance to deserving student to pursue a Masters Degree in Library Science at an ALA-accredited library school in New York State.,Graduate Degree,"Prize
Scholarship","$1,000",September
Oleg Fastovsky Outstanding Citizen Scholarship,Oleg Fastovsky Attorney at Law,"The Outstanding Citizen Scholarship and Essay Contest aims to give demonstrated community leaders and dedicated citizens an opportunity to pursue the education that will inform and better their causes. We are proud to sponsor the discussion on the topic of good citizenship, as well as to offer educational benefits to those individuals who demonstrate that they are outstanding citizens. This essay contest and the $1,000 scholarship associated with it are open to individuals throughout the U.S. who are enrolled in an accredited post-secondary institution during the 2022-2023 school year.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
OppU Achievers Scholarship,OppFi Inc.,"To encourage financial literacy in college students, while giving them a helping hand with the various expenses they incur.","Bachelor's Degree
Graduate Degree",Scholarship,"$2,500",September
Organization of Chinese Americans Scholarships,OCA-Asian Pacific American Advocates,To provide financial assistance to high school seniors in pursuing their educational career.,N/A,Scholarship,N/A,September
Pasteur Foundation Postdoctoral Fellowship,Pasteur Foundation,To support postdoctoral researchers who wants to work in Pasteur laboratories in Paris.,"Graduate Degree
Professional Development",Fellowship,N/A,September
"Paul H. Rittle, Sr. Scholarship",Institute of Real Estate Management,To provide assistance to individuals exploring a career in real estate management.,Professional Development,Scholarship,N/A,September
Paul M. Vanhoutte Distinguished Lectureship in Vascular Pharmacology,American Society for Pharmacology and Experimental Therapeutics,To recognize individuals for their outstanding contributions in Vascular Pharmacology by covering their travel expenses including registration to the Annual Spring ASPET meeting.,Professional Development,Prize,"$1,000
$2,000",September
Phi Delta Gamma Academic Achievement Awards,Phi Gamma Delta,To provide for newly initiated members of Phi Gamma Delta who earn a 3.2 GPA during their first semester as a Phi Gam.,N/A,"Prize
Scholarship",$250,September
PhRMA Foundation Pharmaceutics Pre Doctoral Fellowships,Pharmaceutical Research and Manufacturers of America Foundation,To support advanced students who will have completed most of their pre-thesis requirements at least two years of study and be engaged in thesis research as PhD candidates by the time the award is activated.,Graduate Degree,Fellowship,"$20,000",September
PhRMA Foundation Pharmacology/Toxicology Post Doctoral Fellowships,Pharmaceutical Research and Manufacturers of America Foundation,To support post-doctoral career development activities of individuals prepared to engage in research that integrates information on molecular or cellular mechanisms of action with information on the effect of an agent in the intact organism.,Professional Development,Fellowship,"$40,000",September
PhRMA Foundation Pharmacology/Toxicology Research Starter Grants,Pharmaceutical Research and Manufacturers of America Foundation,To provide financial To provide research careers to support and reward innovation in disciplines essential to the development.,Graduate Degree,Grant,"$100,000",September
PhRMA Foundation Pharmacology/Toxicology Sabbatical Fellowships,Pharmaceutical Research and Manufacturers of America Foundation,To enable faculty with active research programs to work outside of their home institutions for periods of 6 months to one year to learn new skills or develop new collaborations that will enhance their research training capabilities in pharmacology/toxicology.,"Graduate Degree
Professional Development",Fellowship,"$40,000",September
PHSC Research Grant,Photographic Historical Society of Canada,To recognize a current member of the PHSC for original research into Canada's photographic history.,Professional Development,Grant,N/A,September
Randall Mathis Scholarship for Environmental Studies Fund,Arkansas Environmental Federation,"To provides financial assistance to select graduate, undergraduate, and law students with ties to Arkansas.",Bachelor's Degree,Scholarship,N/A,September
"Rebecca Lee Crumpler, M.D. Scholarship",Association of Black Women Physicians,To financially support the Southern California female medical students and for the improvement of public health and welfare through the advancement of knowledge concerning women and community health.,Graduate Degree,Scholarship,N/A,September
Research/Evidence Based Practice Project Award,American Academy of Ambulatory Care Nursing,To recognize a AAACN member who has received approval to conduct research or an evidence-based project.,Professional Development,Grant,"$1,000",September
Restoring Self Scholarship,Hope for the Warriors,"To identify, recognize and reward exceptional spouses/caregivers to aid in their continued education at a reputable, accredited college or trade school as they assume critical roles in the financial well being of their families.",Graduate Degree,Scholarship,N/A,September
Robert C. Carson Memorial Bursary,"Alberta Learning Information Service
Alberta Scholarship Program","To provide financial assistance to aboriginal students who have successfully completed the first year of a program relating to criminal justice, criminology or law.",Bachelor's Degree,Scholarship,N/A,September
Robert O. Wagner Professional Development Scholarship,Association of Zoos and Aquariums,To encourage participation in the AZA Professional Development Program.,Professional Development,Scholarship,N/A,September
Roy C. and Dorothy Jean Olson Memorial Scholarship,International Military Community Executives Association,To support professional members who are graduating from high school and continuing their education.,Graduate Degree,Scholarship,"$1,000",September
Saints Cyril and Methodius Scholarships,Russian Brotherhood Organization of the USA,To support the education of a student member.,N/A,Scholarship,"$10,000",September
Sam's Legacy - Fighting to End Drunk Driving Scholarship,"John H. Fisher, P.C.","On October 3, 2020, a special young man was alive, well, and living life to the fullest. As a U.S. Naval officer, Ensign Samuel Cleghorn looked forward to a bright career ahead of him. “Sam was the epitome of a person of high character, a young man I have know since he was a kid,” said John Fisher, founder and owner of the John H. Fisher law firm. But in the blink of an eye, Sam’s life was ended by a drunk driver.    In honor of Sam and the more than 10,000 individuals who have lost their lives every year as a result of drunk-driving, John Fisher has established ‘The Sam’s Legacy – Fighting to End Drunk Driving – Scholarship’ to prevent drunk driving.","Bachelor's Degree
High School",Scholarship,"$1,000",September
ScienceLogic Scholarship,ScienceLogic L.L.C.,To help understand how people and technology interact in a world where we are more connected.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,500",September
Scleroderma Foundation Established Investigator Grants,Scleroderma Foundation,To provide assistance for established investigators in areas of research related to SSc who are pursuing highly innovative and meritorious pilot projects; to facilitate highly innovative and meritorious pilot projects in areas of research related to scleroderma.,Graduate Degree,Grant,"$150,000",September
Scleroderma Foundation New Investigator Grants,Scleroderma Foundation,To provide financial assistance to promising new investigators in areas of research related to SSc.,Graduate Degree,Grant,"$150,000",September
"Scott A. Gunder, MD, DCMS Presidential Scholarship",Foundation of the Pennsylvania Medical Society,To provide second-year medical student at Penn State College of Medicine.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,500",September
SGI Corporate Scholarships,Saskatchewan Government Insurance,To help Saskatchewan students accomplish their education goals.,Bachelor's Degree,Scholarship,N/A,September
Shout It Out Scholarship,UNIGO Group,To support students pursuing post-secondary education.,"Associate Degree
Bachelor's Degree
High School",Scholarship,"$1,500",September
Skadden Fellowship,Skadden Fellowship Foundation,"To provide funding for graduating law students who wish to devote their professional lives to providing legal services to the poor (including the working poor), the elderly, the homeless and the disabled, as well as those deprived of their civil or human rights.",Graduate Degree,Fellowship,N/A,September
Sloan Research Fellowships,Alfred P. Sloan Foundation,To stimulate fundamental research by early-career scientists and scholars of outstanding promise.,Graduate Degree,Fellowship,"$75,000",September
SNRS/STTI Research Grants,Southern Nursing Research Society,To encourage qualified nurses to contribute to the advancement of nursing through research.,Professional Development,Grant,"$5,000",September
SOBP Travel Fellowship Award-Early Career Investigator-International,Society of Biological Psychiatry,To provide travel support to outstanding individuals who wish to participate in professional meetings.,Professional Development,Fellowship,"$2,000",September
Speak Up! Scholarship,National Society of High School Scholars,To support students with a demonstrated passion for communications.,"Bachelor's Degree
High School",Scholarship,"$2,000",September
Sponsoring True Advocacy for Challenged Youth (STACY) Scholarship,Sponsoring True Advocacy for Challenged Youth,To assist students who participate in the advancement of individuals with disabilities and their families.,High School,Scholarship,"$1,000",September
Spring Meadow - Proven Winners Scholarship,Horticultural Research Institute,To help aspiring students from across the country obtain a degree in horticulture.,"Bachelor's Degree
Graduate Degree",Scholarship,"$4,000",September
Stan and Mary Stark Alumni Scholarship,National Junior Horticultural Association,To help young people develop their skills and obtain an understanding of horticulture.,N/A,Scholarship,N/A,September
Striving Solo Parent Scholarship,"Daniel R. Bacalis, P.C",To assist single parents and reward their hard work and sacrifice.,Bachelor's Degree,Scholarship,"$1,000",September
Striving Solo Parent Scholarship,"Daniel R. Bacalis, P.C","Attorney Bacalis often provides legal services to single parents, and he has come to appreciate the hard work and sacrifice that goes into raising children on your own. Starting in Fall 2022, Daniel R. Bacalis, P.C. is offering a scholarship of $1,000 each semester to a single parent who is returning to school to pursue a college degree. We hope that the Striving Solo Parent Scholarship allows single parents easier access to higher education.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
Study.com Scholarship Florida Students,Study.com,To help a student pursuing their undergraduate degree from a college or university in Florida.,Bachelor's Degree,Scholarship,$500,September
Study.com Scholarship for Texas Students,Study.com,To help a student in pursuing an undergraduate degree in Texas.,Bachelor's Degree,Scholarship,$500,September
StudyCorgi's Annual Students' Scholarship,StudyCorgi,"StudyCorgi is launching its annual $1,500 scholarship to support
creative students in their movie-making skills.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,500",September
Syncrude/Athabasca University Aboriginal Scholarship,Syncrude Canada Ltd.,To provide support the education of Aboriginal students.,Bachelor's Degree,Scholarship,"$2,000",September
TANA Foundation Graduate Scholarships,Telugu Association of North America,To provide financial support to deserving Telugu students who want to pursue their education in the United States.,Graduate Degree,Scholarship,"$2,000",September
The Alsandor Law Firm Scholarship Contest,The Alsandor Law Firm,"To provide financial aid to college students, encourage students to understand their personal motivation for a career in the legal field, and inspire students to pursue a career in law.",Bachelor's Degree,Scholarship,"$1,000",September
The Barbara Jordan Scholarship,J.L. Turner Legal Association,To recognize the most outstanding female minority law student.,N/A,Scholarship,N/A,September
The Driven Decade Scholarship,Yates & Wheland,"The team at Yates & Wheland places high value on engendering sense of purpose, aspiration, and work ethic within our community’s youth. Having gone through the long process of obtaining both undergraduate and law school degrees, Attorneys Allen Yates and Charles Wheland understand the importance of clearly laying out one’s future goals and foreseeing the pathway to attain them. In today’s trying times, it may prove difficult to keep our spirits high and our eyes set on our future goals.

The team at Yates & Wheland understands the importance of encouraging students to forge a clear path to their future goals. That is why we are proud to introduce the Driven Decade Scholarship! This $1,000 scholarship will be rewarded to the high school senior, undergraduate, or graduate student who is willing to tell us about where they see themselves in 10 years. For more information and to apply, please visit our scholarship page.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",September
The Fred Finch Scholarship,J.L. Turner Legal Association,To recognize the most outstanding male minority law students.,Graduate Degree,Scholarship,N/A,September
The Liberty Ranch Addiction & Mental Health Scholarship,The Liberty Ranch,"To support individuals who have struggled with mental health challenges, have been impacted by substance abuse, or intend to work to in mental health-related fields to destigmatize mental illness and addiction.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
The Marie Trahan/Susman Godfrey Scholarship,J.L. Turner Legal Association,To support outstanding African-American male or female law student in continuing their studies.,N/A,Scholarship,N/A,September
The MEDIGO Scholarship Program,MEDIGO,To support students' with values of diversity and inclusion.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,000",September
The Nadia Christensen Prize,The American-Scandinavian Foundation,"To support the most outstanding translations of poetry, fiction, drama or literary prose written by a Scandinavian author.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Prize,"$2,500",September
The Phyllis Lister-Brown Memorial Scholarship,J.L. Turner Legal Association,To assist a minority law student who has excelled academically.,N/A,Scholarship,N/A,September
The Robert W. Brunsman Memorial Scholarship,International Military Community Executives Association,To assist MWR professionals in continuing their education.,Professional Development,Scholarship,"$1,000",September
The Supporting the Community Scholarship,Rastin Gluckstein Lawyers,"Many people have great ideas about making their community a better place for themselves and their neighbors. Still, not as many people seem to have a clear vision of where to start or how to accomplish real change. That is why the team at Rastin Gluckstein Lawyers wants to encourage students to think through how they could help their community and what steps they would have to take to do so.

The attorneys at Rastin Gluckstein Lawyers are excited to offer their Supporting the Community Scholarship! This scholarship will allow students to share their ideas on how to improve their community, and what steps they would take to accomplish this goal. To learn more about this scholarship, please visit our scholarship page.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,September
The TESOL/TEFL Travel Grant,TESOL International Association,To provide resources for English language professionals to attend the annual TESOL international convention & English language Expo.,Professional Development,"Grant
Scholarship","$2,500",September
Theodore C. Sorensen Research Fellowship,John F. Kennedy Presidential Library and Museum,"To support a student in the production of a substantial work in the areas of domestic policy, political journalism, polling, press relations or a related topic.",N/A,Fellowship,"$3,600",September
True Impact Of Injury Scholarship,"Hess Law Office, PLLC","Hess Law Office, PLLC has years of experience working with individuals and families on personal injury cases. Now, our True Impact Of Injury Scholarship gives students the chance to share their experiences (whether personal or about a loved one's injury), detail what their personal injury case was like, and consider how the injury has impacted them short and long-term. Please visit our scholarship page for more information and to apply!","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",September
UC MEXUS Dissertation Research Grants,"Institute for Mexico and the United States
University of California - Riverside",To support a dissertation research or MFA final projects by UC graduate students.,Graduate Degree,Grant,"$12,000",September
UPS/NLF Gold Mountain Scholarships,National Asian Pacific American Bar Association,To assist law students who are the first in their family to attend law school.,N/A,Scholarship,"$5,000",September
Vincent Salierno Memorial Scholarship,American Academy of Optometry Foundation,To recognize and support a deserving optometry student.,Graduate Degree,"Prize
Scholarship","$2,000",September
Vincent Salierno Scholarship,American Academy of Optometry Foundation,To provide scholarships to doctoral students in the field of optometry.,Graduate Degree,Scholarship,"$2,000",September
Visual Arts and New Media Individual Project Funding,Alberta Foundation for the Arts,"To support the development of individual Alberta artists, arts administrators or an ensemble of artists by providing a grant for a specific literary arts project in a limited time period.",Professional Development,Grant,"$15,000",September
Vivian Drenckhahn Student Scholarship,Society for Public Health Education,To provide support to both undergraduate and graduate level full-time students in their pursuit of educational and professional development in health education.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,500",September
Walter A. Rosenblith New Investigator Award,Health Effects Institute,To provide funding for outstanding promise who are interested in the health effects of air pollution.,"Graduate Degree
Professional Development",Prize,"$500,000",September
WBA Paralegal/Legal Assistant Scholarship,Waterbury Bar Association,To recognize enrolled in an accredited paralegal or legal assistant program.,Bachelor's Degree,Scholarship,$500,September
Weiss & Paarz Annual Rising Star Scholarship,Weiss & Paarz P.C.,To provide financial support to young individuals who plan to realize their full potential on a career path that helps others.,Bachelor's Degree,Scholarship,"$1,000",September
Weiss & Paarz National Law School Scholarship,Weiss & Paarz P.C.,To support students pursuing law degrees in the United States.,N/A,Scholarship,"$1,000",September
Welch Scholars Grants,American Osteopathic Foundation,To provide financial assistance to students enrolled in a college/univeristy pursuing a career in osteopathic medicine.,Bachelor's Degree,Grant,"$1,500",September
Western District fellowship,Institute of Transportation Engineers,To support students wishing to pursue a graduate study in transportation engineering.,Graduate Degree,Fellowship,"$1,000",September
Willard & Spackman Scholarship Program,American Occupational Therapy Foundation,To offered only to students enrolled in accredited academic occupational therapy programs.,"Graduate Degree
Professional Development",Scholarship,"$2,000",September
William Harrison Gill Education Fund,Benton Community Foundation,To provide scholarship to the students of Oregon State University.,Bachelor's Degree,Scholarship,"$3,000",September
Worcester District Medical Society Scholarship Fund,Worcester District Medical Society,To provide educational assistance to medical students.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,September
Wyeth Foundation For American Art Publication Grant,College Art Association,"To supports book-length scholarly manuscripts in the history of American art, visual studies, and related subjects.",N/A,Grant,N/A,September
"$1,500 Annual Video Contest Scholarship for Students",IvyPanda,To assist talented and creative movie making students.,"Bachelor's Degree
High School",Scholarship,"$500
$1,000",October
"$1,500 Video Contest Scholarship for Students Who Enjoy Writing",Cool Club,To assist aspiring writers with educational costs.,"Bachelor's Degree
High School",Scholarship,"$500
$1,000",October
"$2,000 College Scholarship for the Business Leaders of Tomorrow",Business Broker Network,To help students' with college expenses and encourage entrepreneurial activity.,Bachelor's Degree,Scholarship,"$2,000",October
AAIDD Fellowship,American Association on Intellectual and Developmental Disabilities,To give recognition to those active members of the Association who exhibited significant contributions to the organization.,Professional Development,Fellowship,N/A,October
Abe Voron Award,Broadcast Education Association,"To provide a broad range of services to academic and professional members to keep them abreast with the latest electronic media developments in radio, television, news technologies, management, sales, news reporting, production, research, communication, law, policy and international systems.","Bachelor's Degree
Graduate Degree",Scholarship,"$3,000",October
Academic Hero Scholarship,Course Hero Inc.,"To award a student for their academic performance, personal growth, and desire to continue their success as a college student.",Bachelor's Degree,Scholarship,"$10,000",October
Accountability & Morality Scholarship,"O'Connor, Acciani & Levy","The team at O'Connor, Acciani & Levy is proud to offer the Accountability & Morality Scholarship for 2022.  Applicants are asked to dive into liability law and business ethics to describe a time either they personally, another individual, or a group were injured because of corporate oversight. Who was held accountable for the incident? How were damages fixed? And were the results fair?","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$1,000",October
ACS Doctoral Degree Scholarships in Cancer Nursing,American Cancer Society,To strengthen nursing practice by providing assistance for advance preparation in the field of cancer nursing research.,Graduate Degree,Scholarship,"$15,000",October
ADR Postdoctoral Fellowship Awards,BrightFocus Foundation,To support young researchers in their final stages of mentored training.,Professional Development,Fellowship,"$200,000",October
AHRQ Mentored Clinical Scientist Research Career Development Award,"Agency for Healthcare Research and Quality
U.S. Department of Health and Human Services","To support an intensive mentored research career development experience, comprised of didactic study and/or mentored research opportunities in health services research, for individuals with clinical doctoral degrees.",Graduate Degree,Prize,N/A,October
AIPS Short Term Fellowships,American Institute of Pakistan Studies,To promote academic study of Pakistan in the US and to encourage scholarly exchange between the US and Pakistan.,"Graduate Degree
Professional Development",Fellowship,"$3,000",October
AIST Foundation Engineering Scholarship,Association for Iron and Steel Technology,To support talented and dedicated students to encourage them to pursue careers within iron-and steel-related industries.,Bachelor's Degree,Scholarship,"$3,000",October
AIST Willy Korf Memorial Fund,Association for Iron and Steel Technology,To support students in pursuing careers within iron- and steel-related industries.,"Bachelor's Degree
Graduate Degree",Scholarship,"$3,000",October
Alabama Student Assistance Program (ASAP),Alabama Commission on Higher Education,To provide support to students in pursuing a higher education.,Bachelor's Degree,"Grant
Scholarship","$300
$5,000",October
Albert C.W. Chan Foundation Award,"York Centre for Asian Research
York University",To encourage and assist graduate students to carry out field research in East and/or Southeast Asia.,N/A,"Fellowship
Prize",N/A,October
Alberta Holstein Association Scholarship Program,Alberta Holstein Association,To provide students who have completed the first year of university or college and are returning to school within the calendar year.,Bachelor's Degree,Scholarship,"$2,000",October
Alex J. Ettl Grants,National Sculpture Society,To honor sculptors who demonstrate commitment and exceptional ability in their work.,N/A,Grant,"$7,695",October
Anna and John Kolesar Memorial Scholarship,"Alberta Learning Information Service
Alberta Scholarship Program",To support those students who are academically excellent and have plan to enter in Faculty Education.,Bachelor's Degree,Scholarship,N/A,October
ANS Neurotology Fellowship Award,American Neurotology Society,To subsidize travel expenses incurred while giving an oral podium presentation at the Annual Meeting of the ANS.,N/A,Fellowship,$500,October
Artist-in-Residence Workspace Grant,Center for Book Arts,To promote experimentation in making book art.,Professional Development,Grant,"$750
$1,500",October
Aryeh Neier Fellowships,Open Society Foundations,To support and mentor recent law school graduates.,Graduate Degree,Fellowship,"$55,000",October
ASECS Innovative Course Design Competition,American Society for Eighteenth-Century Studies,To encourage excellence in undergraduate teaching of the eighteenth century.,Bachelor's Degree,Prize,$500,October
ASNT Fellowship Award,American Society for Nondestructive Testing,To fund a specific research in nondestructive testing.,Graduate Degree,"Fellowship
Prize","$20,000",October
Association for Women in Sports Media Internship Program,Association for Women in Sports Media,To assist female college students interested in sports media careers through paid internships with employers.,Bachelor's Degree,Scholarship,"$1,000",October
AVAC Advocacy Fellows Program,AVAC: Global Advocacy for HIV Prevention,To provide support to emerging and mid-career advocates to design and implement advocacy projects focused on biomedical HIV prevention research and implementation activities in their countries and communities.,Professional Development,Fellowship,N/A,October
BAEF Fellowships,Belgian American Educational Foundation,To foster the higher education of deserving Belgians and Americans through its exchange fellowship program.,Graduate Degree,Fellowship,"$29,000
$33,000",October
Ballard Breaux Visiting Fellowships,Filson Historical Society,To assist and support a post doctoral student living outside of Kentucky for a one-month residence at Filson Historical Society research collections.,"Graduate Degree
Professional Development",Fellowship,"$2,000",October
Barbara A. Cooley Master’s Scholarship,Society of Health and Physical Educators,To provide support to a master's level student who is currently enrolled in a health education program.,"Bachelor's Degree
Graduate Degree","Prize
Scholarship","$1,000",October
Bill Kane Undergraduate Scholarship,Society of Health and Physical Educators,To provide the award is open to any student officially recognized as an undergraduate school-based health education major at an accredited college/university in the United States or a U.S. territory.,Bachelor's Degree,"Prize
Scholarship","$1,000",October
Bill Sanderson Aviation Maintenance Technician Scholarships,Helicopter Association International,To assist private helicopter pilot candidates who wish to obtain their commercial helicopter ratings.,Graduate Degree,Scholarship,"$1,600",October
BSF Research Grants,Barth Syndrome Foundation,To provide seed funding to young and established investigators in order to generate the preliminary data required for successful follow-on funding available from larger institutions.,Professional Development,Grant,"$50,000
$100,000",October
Buckfire & Buckfire PC Paralegal Scholarship Program,"Buckfire & Buckfire, P.C.","To stimulate and encourage the establishment and maintenance of training, educational facilities, and programs for persons interested in the profession.","Bachelor's Degree
Vocational",Scholarship,"$1,000",October
Buckfire & Buckfire PC Paralegal Scholarship Program,Paralegal Association of Wisconsin,"To stimulate and encourage the establishment and maintenance of training, educational facilities, and programs for persons interested in the profession.","Bachelor's Degree
Vocational",Scholarship,"$1,000",October
"Buckfire & Buckfire, P.C. Law School Diversity Scholarships","Buckfire & Buckfire, P.C.",To help law students who are in need of financial assistance achieve their academic and professional dreams.,N/A,Scholarship,"$2,000",October
"Buckfire & Buckfire, P.C. Medical Diversity Scholarships","Buckfire & Buckfire, P.C.",To recognize and support medical school students who do outstanding work to promote ethnic diversity in their community.,Graduate Degree,Scholarship,"$2,000",October
California Consumer Attorney P.C.s Annual Consumer Advocacy,"California Consumer Attorneys, P.C.",To encourage all college/law school students that are passionate about consumer advocacy to apply.,"Bachelor's Degree
High School",Scholarship,"$1,000",October
California Consumer Attorney P.C.s Annual Consumer Advocacy Scholarship,"Sepehr Daghighian, Esq. California Consumer Attorneys, P.C.","California Consumer Attorneys, P.C. (CCA) is a Los Angeles-based law firm that is firmly committed to consumer advocacy, particularly with respect to enforcement of Californias lemon laws. CCA is offering an annual $1,000 scholarship for students who are currently enrolled in law school or intending to attend law school that are passionate about consumer advocacy. While major corporations have the resources to hire bevies of young attorneys to advocate on their behalves, todays consumer has fewer and fewer options on where to turn for zealous and skilled representation.

We offer this scholarship in the spirit of our firms founding: a
commitment to excellence in advocacy on behalf of individuals.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",October
Career Awards for Medical Scientists (CAMS),Burroughs Wellcome Fund,To support research and other scientific and educational activities of career medical scientists.,Professional Development,Grant,"$700,000",October
Carl Koller Memorial Research Grants,American Society of Regional Anesthesia and Pain Medicine,To support clinical and laboratory studies related to any aspect of regional anesthesia and analgesia and their application to surgery.,N/A,Grant,"$200,000",October
